lastname,firstname,middlename,order,town,birth_state,home_state,party,birth_month,birth_day,birth_year,death_month,death_day,death_year,inaug_month,inaug_day,inaug_year,left_month,left_day,left_year,assassination_attempt,assassinated
Washington,George,,1,Westmoreland County,Virginia,Virginia,Independent,2,22,1732,12,14,1799,4,30,1789,3,4,1797,FALSE,FALSE
Adams,John,,2,Quincy,Massachusetts,Massachusetts,Federalist,10,30,1735,7,4,1826,3,4,1797,3,4,1801,FALSE,FALSE
Jefferson,Thomas,,3,Albemarle County,Virginia,Virginia,Democratic-Republican,4,13,1743,7,4,1826,3,4,1801,3,4,1809,FALSE,FALSE
Madison,James,,4,Port Conway,Virginia,Virginia,Democratic-Republican,3,16,1751,6,28,1836,3,4,1809,3,4,1817,FALSE,FALSE
Monroe,James,,5,Westmoreland County,Virginia,Virginia,Democratic-Republican,4,28,1758,7,4,1831,3,4,1817,3,4,1825,FALSE,FALSE
Adams,John,Quincy,6,Braintree,Massachusetts,Massachusetts,Democratic-Republican/National Republican,7,11,1767,2,23,1848,3,4,1825,3,4,1829,FALSE,FALSE
Jackson,Andrew,,7,Lancaster County,Tennessee,Tennessee,Democratic,3,15,1767,6,8,1845,3,4,1829,3,4,1837,TRUE,FALSE
Van Buren,Martin,,8,Kinderhook,New York,New York,Democratic,12,5,1782,7,24,1862,3,4,1837,3,4,1841,FALSE,FALSE
Harrison,William,Henry,9,Charles City County,Ohio,Ohio,Whig,2,9,1773,4,4,1841,3,4,1841,4,4,1841,FALSE,FALSE
Tyler,John,,10,Charles City County,Virginia,Virginia,Whig,3,29,1790,1,18,1862,4,4,1841,3,4,1845,FALSE,FALSE
Polk,James,Knox,11,Mecklenburg County,North Carolina,Tennessee,Democratic,11,2,1795,6,15,1849,3,4,1845,3,4,1849,FALSE,FALSE
Taylor,Zachary,,12,Montebello,Virginia,Louisiana,Whig,11,24,1784,7,9,1850,3,4,1849,7,9,1850,FALSE,FALSE
Fillmore,Millard,,13,Cayuga County,New York,New York,Whig,1,7,1800,3,8,1874,7,9,1850,3,4,1853,FALSE,FALSE
